date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
10/24/2019,300.91,300.37,301.07,299.46,35857459,300.91,300.37,301.07,299.46,35857459,0.49,0.1634,24-Oct-19,0.037261
10/25/2019,299.74,301.6,302.2,299.68,45205412,299.74,301.6,302.2,299.68,45205412,1.23,0.4095,25-Oct-19,0.041508
10/28/2019,302.94,303.3,303.85,302.91,42146965,302.94,303.3,303.85,302.91,42146965,1.7,0.5637,28-Oct-19,0.047379
10/29/2019,303,303.21,304.23,302.86,44284921,303,303.21,304.23,302.86,44284921,-0.09,-0.0297,29-Oct-19,0.047068
10/30/2019,303.43,304.14,304.55,301.99,49643928,303.43,304.14,304.55,301.99,49643928,0.93,0.3067,30-Oct-19,0.05028
10/31/2019,304.13,303.33,304.13,301.73,69053791,304.13,303.33,304.13,301.73,69053791,-0.81,-0.2663,31-Oct-19,0.047483
11/1/2019,304.92,306.14,306.19,304.74,71141515,304.92,306.14,306.19,304.74,71141515,2.81,0.9264,1-Nov-19,0.057186
11/4/2019,307.85,307.37,308,306.96,60606916,307.85,307.37,308,306.96,60606916,1.23,0.4018,4-Nov-19,0.061434
11/5/2019,307.59,307.03,307.92,306.71,42933219,307.59,307.03,307.92,306.71,42933219,-0.34,-0.1106,5-Nov-19,0.06026
11/6/2019,307.03,307.1,307.4,306.06,46487108,307.03,307.1,307.4,306.06,46487108,0.07,0.0228,6-Nov-19,0.060501
11/7/2019,308.57,308.18,309.65,307.66,54272274,308.57,308.18,309.65,307.66,54272274,1.08,0.3517,7-Nov-19,0.064231
11/8/2019,307.8,308.94,309,307.03,49068797,307.8,308.94,309,307.03,49068797,0.76,0.2466,8-Nov-19,0.066855
11/11/2019,307.42,308.35,308.54,307.27,35934909,307.42,308.35,308.54,307.27,35934909,-0.59,-0.191,11-Nov-19,0.064818
11/12/2019,308.75,309,309.99,308.15,46484624,308.75,309,309.99,308.15,46484624,0.65,0.2108,12-Nov-19,0.067063
11/13/2019,307.91,309.1,309.54,307.66,54459018,307.91,309.1,309.54,307.66,54459018,0.1,0.0324,13-Nov-19,0.067408
11/14/2019,308.79,309.55,309.64,308.09,52001874,308.79,309.55,309.64,308.09,52001874,0.45,0.1456,14-Nov-19,0.068962
11/15/2019,311.02,311.79,311.84,310.26,62706192,311.02,311.79,311.84,310.26,62706192,2.24,0.7236,15-Nov-19,0.076697
11/18/2019,311.53,312.02,312.28,311.03,49327980,311.53,312.02,312.28,311.03,49327980,0.23,0.0738,18-Nov-19,0.077492
11/19/2019,312.68,311.93,312.69,311.22,67927818,312.68,311.93,312.69,311.22,67927818,-0.09,-0.0288,19-Nov-19,0.077181
11/20/2019,311.28,310.77,311.85,309.06,79696276,311.28,310.77,311.85,309.06,79696276,-1.16,-0.3719,20-Nov-19,0.073175
11/21/2019,310.89,310.27,311.01,309.39,54664690,310.89,310.27,311.01,309.39,54664690,-0.5,-0.1609,21-Nov-19,0.071448
11/22/2019,311.09,310.96,311.24,309.85,44850228,311.09,310.96,311.24,309.85,44850228,0.69,0.2224,22-Nov-19,0.073831
11/25/2019,311.98,313.37,313.37,311.98,48762676,311.98,313.37,313.37,311.98,48762676,2.41,0.775,25-Nov-19,0.082153
11/26/2019,313.41,314.08,314.28,313.06,37727953,313.41,314.08,314.28,313.06,37727953,0.71,0.2266,26-Nov-19,0.084605
11/27/2019,314.61,315.48,315.48,314.37,44793179,314.61,315.48,315.48,314.37,44793179,1.4,0.4457,27-Nov-19,0.08944
11/29/2019,314.86,314.31,315.13,314.06,36592740,314.86,314.31,315.13,314.06,36592740,-1.17,-0.3709,29-Nov-19,0.0854
12/2/2019,314.59,311.64,314.66,311.17,76110027,314.59,311.64,314.66,311.17,76110027,-2.67,-0.8495,2-Dec-19,0.076179
12/3/2019,308.65,309.55,309.64,307.13,75172709,308.65,309.55,309.64,307.13,75172709,-2.09,-0.6706,3-Dec-19,0.068962
12/4/2019,310.7,311.46,312.12,310.32,49190402,310.7,311.46,312.12,310.32,49190402,1.91,0.617,4-Dec-19,0.075558
12/5/2019,312.23,312.02,312.25,310.58,40781669,312.23,312.02,312.25,310.58,40781669,0.56,0.1798,5-Dec-19,0.077492
12/6/2019,314.12,314.87,315.31,314.11,48956767,314.12,314.87,315.31,314.11,48956767,2.85,0.9134,6-Dec-19,0.087333
12/9/2019,314.44,313.88,315.18,313.8,34904315,314.44,313.88,315.18,313.8,34904315,-0.99,-0.3144,9-Dec-19,0.083915
12/10/2019,313.82,313.53,314.55,312.81,53107133,313.82,313.53,314.55,312.81,53107133,-0.35,-0.1115,10-Dec-19,0.082706
