date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
10/1/2019,138.07,139.63,140.19,137.8,12502406,138.07,139.63,140.19,137.8,12502406,0.76,0.5473,1-Oct-19,0.102923
10/2/2019,140.79,141.26,141.88,140.46,11944623,140.79,141.26,141.88,140.46,11944623,1.63,1.1674,2-Oct-19,0.115798
10/3/2019,141.36,141.9,143.25,141.29,12407863,141.36,141.9,143.25,141.29,12407863,0.64,0.4531,3-Oct-19,0.120853
10/4/2019,141.48,141.9,142.31,141.14,9689966,141.48,141.9,142.31,141.14,9689966,0,0,4-Oct-19,0.120853
10/7/2019,141.16,140.69,141.77,140.24,6162696,141.16,140.69,141.77,140.24,6162696,-1.21,-0.8527,7-Oct-19,0.111295
10/8/2019,142.03,141.92,142.29,141.17,10485490,142.03,141.92,142.29,141.17,10485490,1.23,0.8743,8-Oct-19,0.121011
10/9/2019,142.16,142.05,142.58,141.62,7052811,142.16,142.05,142.58,141.62,7052811,0.13,0.0916,9-Oct-19,0.122038
10/10/2019,141.59,140.81,141.66,140.58,9331584,141.59,140.81,141.66,140.58,9331584,-1.24,-0.8729,10-Oct-19,0.112243
10/11/2019,139.97,140.03,140.19,138.91,11425535,139.97,140.03,140.19,138.91,11425535,-0.78,-0.5539,11-Oct-19,0.106082
10/14/2019,140.45,140.59,140.82,140.34,4009169,140.45,140.59,140.82,140.34,4009169,0.56,0.3999,14-Oct-19,0.110506
10/15/2019,140.27,139.61,140.3,139.21,9131732,140.27,139.61,140.3,139.21,9131732,-0.98,-0.6971,15-Oct-19,0.102765
10/16/2019,140.14,140.41,140.53,139.7,10363893,140.14,140.41,140.53,139.7,10363893,0.8,0.573,16-Oct-19,0.109084
10/17/2019,140.5,140.61,141.12,140.42,6224288,140.5,140.61,141.12,140.42,6224288,0.2,0.1424,17-Oct-19,0.110664
10/18/2019,140.5,140.46,140.71,140.32,6416213,140.5,140.46,140.71,140.32,6416213,-0.15,-0.1067,18-Oct-19,0.109479
10/21/2019,140.72,139.79,140.76,139.6,8314307,140.72,139.79,140.76,139.6,8314307,-0.67,-0.477,21-Oct-19,0.104186
10/22/2019,140.13,140.2,140.3,139.72,3885045,140.13,140.2,140.3,139.72,3885045,0.41,0.2933,22-Oct-19,0.107425
10/23/2019,140.59,140.53,141,140.5,4160001,140.59,140.53,141,140.5,4160001,0.33,0.2354,23-Oct-19,0.110032
10/24/2019,141.02,141.53,141.74,140.93,6275566,141.02,141.53,141.74,140.93,6275566,1,0.7116,24-Oct-19,0.11793
10/25/2019,142.79,141.86,142.83,141.4,6011459,142.79,141.86,142.83,141.4,6011459,0.33,0.2332,25-Oct-19,0.120537
10/28/2019,141.25,140.64,141.25,140.4,5442028,141.25,140.64,141.25,140.4,5442028,-1.22,-0.86,28-Oct-19,0.1109
10/29/2019,140,140.25,140.63,139.78,3835427,140,140.25,140.63,139.78,3835427,-0.39,-0.2773,29-Oct-19,0.10782
10/30/2019,140.54,141.02,141.04,139.55,6992869,140.54,141.02,141.04,139.55,6992869,0.77,0.549,30-Oct-19,0.113902
10/31/2019,141.98,142.43,142.69,141.89,7050926,141.98,142.43,142.69,141.89,7050926,1.41,0.9999,31-Oct-19,0.125039
11/1/2019,142.21,142.56,142.9,142.01,8089975,142.21,142.56,142.9,142.01,8089975,0.13,0.0913,1-Nov-19,0.126066
11/4/2019,142.26,142.15,142.45,141.74,4740282,142.26,142.15,142.45,141.74,4740282,-0.41,-0.2876,4-Nov-19,0.122828
11/5/2019,140.65,139.85,140.89,139.38,11782250,140.65,139.85,140.89,139.38,11782250,-2.3,-1.618,5-Nov-19,0.10466
11/6/2019,140.12,140.45,140.79,140,6416469,140.12,140.45,140.79,140,6416469,0.6,0.429,6-Nov-19,0.1094
11/7/2019,140.11,138.27,140.2,137.6,15214223,140.11,138.27,140.2,137.6,15214223,-2.18,-1.5522,7-Nov-19,0.09218
11/8/2019,137.73,137.39,138.33,137.39,10378201,137.73,137.39,138.33,137.39,10378201,-0.88,-0.6364,8-Nov-19,0.085229
11/11/2019,137.61,137.06,137.79,136.44,7038053,137.61,137.06,137.79,136.44,7038053,-0.33,-0.2402,11-Nov-19,0.082622
